Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),4.04,0.13
kexAB (s^-1),292,14
R1 (s^-1),1.39,0.11
R2 (s^-1),22.08,0.14
Red. Chi-sq,0.60
