SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2CAC_m1A_10C/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

228 points for Peak 1

Converged after 103 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.316e-002    1.031e+000  
T     =       8.183s      149.490s  

RSS   =   1.409e-003
SD    =   2.486e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.948e-001   -5.212e-003
    2       2.000s    9.947e-001    9.913e-001   -3.342e-003
    3       3.000s    9.893e-001    9.875e-001   -1.734e-003
    4       4.000s    9.839e-001    9.834e-001   -4.387e-004
    5       5.000s    9.785e-001    9.791e-001    6.034e-004
    6       6.000s    9.731e-001    9.745e-001    1.424e-003
    7       7.000s    9.677e-001    9.697e-001    2.043e-003
    8       8.000s    9.624e-001    9.648e-001    2.448e-003
    9       9.000s    9.570e-001    9.597e-001    2.743e-003
   10      10.000s    9.515e-001    9.545e-001    2.980e-003
   11      11.000s    9.462e-001    9.492e-001    3.049e-003
   12      12.000s    9.408e-001    9.438e-001    2.996e-003
   13      13.000s    9.354e-001    9.384e-001    2.990e-003
   14      14.000s    9.299e-001    9.328e-001    2.961e-003
   15      15.000s    9.245e-001    9.273e-001    2.804e-003
   16      16.000s    9.191e-001    9.217e-001    2.579e-003
   17      17.000s    9.136e-001    9.160e-001    2.418e-003
   18      18.000s    9.081e-001    9.104e-001    2.225e-003
   19      19.000s    9.027e-001    9.047e-001    1.995e-003
   20      20.000s    8.973e-001    8.990e-001    1.721e-003
   21      21.000s    8.920e-001    8.933e-001    1.392e-003
   22      22.000s    8.866e-001    8.877e-001    1.047e-003
   23      23.000s    8.812e-001    8.820e-001    8.073e-004
   24      24.000s    8.758e-001    8.763e-001    5.479e-004
   25      25.000s    8.704e-001    8.707e-001    2.508e-004
   26      26.000s    8.650e-001    8.650e-001   -2.769e-006
   27      27.000s    8.597e-001    8.594e-001   -2.326e-004
   28      28.000s    8.543e-001    8.538e-001   -4.741e-004
   29      29.000s    8.489e-001    8.482e-001   -6.556e-004
   30      30.000s    8.436e-001    8.427e-001   -8.991e-004
   31      31.000s    8.383e-001    8.372e-001   -1.142e-003
   32      32.000s    8.330e-001    8.317e-001   -1.340e-003
   33      33.000s    8.278e-001    8.262e-001   -1.594e-003
   34      34.000s    8.226e-001    8.208e-001   -1.828e-003
