Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.717,0.010
dwB (ppm),3.66,0.05
kexAB (s^-1),1766,44
R1 (s^-1),1.87,0.06
R2 (s^-1),15.12,0.12
Red. Chi-sq,0.11
