Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.26,1.52
kexAB (s^-1),3936,2688
R1 (s^-1),1.60,0.40
R2 (s^-1),31.52,1.01
Red. Chi-sq,1.80
