Fit #1
g10c8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),3.37,0.13
kexAB (s^-1),238,7
R1 (s^-1),0.01,0.48
R2 (s^-1),27.36,0.52
Red. Chi-sq,1.88
