Fit #1
g10c1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.18,0.07
kexAB (s^-1),238,7
R1 (s^-1),0.40,0.25
R2 (s^-1),19.41,0.31
Red. Chi-sq,1.88
