Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.89,0.07
kexAB (s^-1),2752,264
R1 (s^-1),2.65,0.09
R2 (s^-1),25.85,0.29
Red. Chi-sq,0.62
