Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.99,0.25
kexAB (s^-1),2791,399
R1 (s^-1),2.22,0.62
R2 (s^-1),28.04,1.24
Red. Chi-sq,1.97
