Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),4.79,0.24
kexAB (s^-1),2791,399
R1 (s^-1),2.09,0.57
R2 (s^-1),21.59,1.10
Red. Chi-sq,1.97
