Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.74,0.13
kexAB (s^-1),42,8
R1 (s^-1),2.30,0.07
R2 (s^-1),13.91,0.09
Red. Chi-sq,0.36
