Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.24,8.91
kexAB (s^-1),4721,15654
R1 (s^-1),3.30,2.26
R2 (s^-1),43.99,6.00
Red. Chi-sq,22.46
