Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.64,0.05
kexAB (s^-1),3608,157
R1 (s^-1),1.98,0.05
R2 (s^-1),19.83,0.15
Red. Chi-sq,0.17
