Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.25,0.06
kexAB (s^-1),3608,157
R1 (s^-1),2.32,0.07
R2 (s^-1),30.15,0.17
Red. Chi-sq,0.17
