Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.76,0.05
kexAB (s^-1),2359,382
R1 (s^-1),6.01,0.40
R2 (s^-1),11.14,0.85
Red. Chi-sq,47.10
