Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.05,0.07
kexAB (s^-1),5547,524
R1 (s^-1),2.00,0.07
R2 (s^-1),22.09,0.37
Red. Chi-sq,0.23
