Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.91,0.06
kexAB (s^-1),318,9
R1 (s^-1),1.58,0.12
R2 (s^-1),22.54,0.15
Red. Chi-sq,0.65
