Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.42,0.41
kexAB (s^-1),3494,801
R1 (s^-1),1.43,0.23
R2 (s^-1),28.86,0.55
Red. Chi-sq,0.88
