Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),1.38,0.11
kexAB (s^-1),4724,562
R1 (s^-1),2.18,0.15
R2 (s^-1),16.43,0.52
Red. Chi-sq,1.23
