Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.070,0.070
dwB (ppm),6.80,8.70
kexAB (s^-1),4323,12965
R1 (s^-1),4.07,1.31
R2 (s^-1),36.34,3.42
Red. Chi-sq,8.42
