Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.070,0.070
dwB (ppm),7.11,7.18
kexAB (s^-1),4323,12965
R1 (s^-1),5.19,1.16
R2 (s^-1),30.91,3.12
Red. Chi-sq,8.42
