Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.64,0.06
kexAB (s^-1),6706,803
R1 (s^-1),3.52,0.09
R2 (s^-1),18.22,0.41
Red. Chi-sq,1.09
