Fit #1
gc1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.65,0.06
kexAB (s^-1),6706,803
R1 (s^-1),2.97,0.12
R2 (s^-1),12.22,0.54
Red. Chi-sq,1.09
