Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.55,0.01
kexAB (s^-1),23,2
R1 (s^-1),2.51,0.08
R2 (s^-1),30.14,0.13
Red. Chi-sq,0.40
