Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.73,0.61
kexAB (s^-1),3228,1466
R1 (s^-1),2.11,0.08
R2 (s^-1),22.52,0.21
Red. Chi-sq,0.30
