Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-100.0,150.0,11.2056215388,0.401390736461,15.222515256,0.579786619333,11.2213547025,15.2452409369,-0.0157331637082,-0.0227256809119
-150.0,150.0,8.8858592666,0.429922176719,15.6041078582,0.859844353438,8.78691373583,15.4062167966,0.0989455307709,0.197891061542
-30.0,150.0,14.8188736012,0.401195990827,15.3249241182,0.41724383046,14.5697400296,15.0658252037,0.249133571635,0.2590989145
-60.0,150.0,13.5415332008,0.49154937602,15.3613608049,0.570197276183,13.3476008829,15.1363993161,0.193932317947,0.224961488819
0.0,150.0,15.1580993498,0.442306395125,15.1580993498,0.442306395125,15.0031862482,15.0031862482,0.154913101608,0.154913101608
450.0,150.0,3.30386511648,0.298112047904,13.5301550896,2.98112047904,3.39162292346,14.4077331594,-0.0877578069769,-0.877578069769
500.0,150.0,3.26628525913,0.311910829536,15.4737806381,3.77758671327,3.1753056774,14.3719168149,0.0909795817286,1.10186382316
350.0,150.0,4.06236386755,0.366974981014,14.3782423602,2.36494987765,4.08019716257,14.4931680392,-0.0178332950228,-0.114925679036
400.0,150.0,3.68989158187,0.388844735773,14.5150002528,3.15396285683,3.68162399661,14.4479409501,0.00826758526232,0.0670593026832
250.0,150.0,5.31618828037,0.399148295689,14.0622371841,1.50789356149,5.4590573264,14.6019646913,-0.142869046025,-0.539727507206
300.0,150.0,4.61826551169,0.308559329112,14.4208848584,1.54279664556,4.64293312603,14.54422293,-0.024667614336,-0.12333807168
150.0,150.0,8.43074917438,0.45511632398,14.6938876737,0.91023264796,8.45426065771,14.7409106404,-0.0235114833262,-0.0470229666525
200.0,150.0,6.25642603528,0.307040825349,13.5254311202,0.852891181525,6.66748794126,14.6672697479,-0.411061905977,-1.14183862771
-250.0,150.0,5.86323030389,0.336053906486,16.1288403841,1.26953698006,5.77892462117,15.8103522494,0.0843056827201,0.318488134721
-200.0,150.0,7.27768101403,0.337977257793,16.3622505056,0.938825716092,7.00133325749,15.5946178485,0.276347756541,0.767632657058
-350.0,150.0,4.37808563683,0.232795518485,16.4128937622,1.50023778579,4.36379674971,16.320809823,0.014288887123,0.0920839392372
