Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-90.0,100.0,12.7135939022,0.420634054541,21.004190407,0.761347638719,12.89504756,21.3326215276,-0.181453657759,-0.328431120543
-120.0,100.0,10.1905087419,0.418483452002,21.2961043419,1.02109962288,10.2449350558,21.4289045477,-0.0544263138502,-0.132800205795
-30.0,100.0,19.8446826402,0.559483515022,21.407658016,0.609837031374,19.6449972967,21.1900009916,0.199685343525,0.217657024443
-60.0,100.0,16.0709810106,0.394176556685,20.9643499273,0.536080117092,16.2826484837,21.2522176907,-0.211667473077,-0.287867763385
0.0,100.0,21.3361326423,0.455349948999,21.3361326423,0.455349948999,21.144009889,21.144009889,0.192122753342,0.192122753342
300.0,100.0,4.56911434291,0.357834687612,23.3865372519,3.57834687612,4.29850657936,20.6804596164,0.270607763553,2.70607763553
350.0,100.0,4.247854433,0.460729258584,25.9250239405,6.10466267624,3.8480273206,20.6273147012,0.399827112401,5.29770923932
200.0,100.0,5.93748211564,0.449455792785,19.7742522772,2.24727896392,6.14480992846,20.8108913413,-0.207327812818,-1.03663906409
250.0,100.0,5.06441529836,0.325325615082,21.2277010678,2.35861070934,4.99731169215,20.7411999228,0.0671036062074,0.486501145003
-200.0,100.0,6.4898682308,0.297821510743,22.536182853,1.48910755371,6.33129990469,21.7433412225,0.158568326108,0.792841630541
-150.0,100.0,8.43457735639,0.401369920189,21.836224864,1.30445224061,8.34278583172,21.5379024088,0.0917915246712,0.298322455181
-300.0,100.0,4.23104605864,0.351017697061,20.0058544092,3.51017697061,4.45436356491,22.2390294719,-0.223317506268,-2.23317506268
-250.0,100.0,5.37190796238,0.293104230902,23.457022882,2.12500567404,5.16778155735,21.9771064455,0.204126405027,1.47991643644
30.0,100.0,19.678559745,0.557705572703,21.2265840603,0.607899074246,19.5660402529,21.1039378139,0.112519492073,0.122646246359
-350.0,100.0,4.05627339607,0.351466756444,23.3865752012,4.65693452288,3.99136212218,22.5265008221,0.0649112738906,0.860074379051
90.0,100.0,12.2647869843,0.345107667556,20.1918498856,0.624644878276,12.7113073721,21.0000517875,-0.446520387764,-0.808201901852
60.0,100.0,16.0393087611,0.445167525621,20.921275668,0.605427834845,16.1381621285,21.0557162477,-0.0988533674305,-0.134440579705
150.0,100.0,7.97485459027,0.45284812559,20.3421258741,1.47175640817,8.14370687309,20.8908957932,-0.16885228282,-0.548769919163
120.0,100.0,9.96330107838,0.379986977517,20.7417176429,0.927168225141,10.0462207047,20.944041531,-0.082919626278,-0.202323888118
0.0,200.0,21.0566465557,0.555048963982,21.0566465557,0.555048963982,21.0905757579,21.0905757579,-0.0339292022197,-0.0339292022197
-100.0,200.0,17.4650218542,0.438085021221,21.2117049239,0.547606276526,17.5499130977,21.3178189783,-0.0848912434613,-0.106114054327
-150.0,200.0,14.671575729,0.437330402585,21.5302991905,0.683328754039,14.6288285367,21.4635067025,0.0427471923059,0.066792487978
-30.0,200.0,20.9610825059,0.489401073273,21.3769453468,0.500412597422,20.7400227027,21.1509116981,0.221059803183,0.226033648755
-60.0,200.0,19.9947935863,0.530198944644,21.5712789473,0.577916849662,19.6702822297,21.2175615686,0.324511356609,0.353717378703
-200.0,200.0,11.8343457769,0.399395099547,21.1904019786,0.798790199094,12.0553494415,21.6324093078,-0.2210036646,-0.4420073292
-250.0,200.0,9.81694144428,0.364201458436,21.2835849896,0.933266237242,10.0279200917,21.8242177737,-0.210978647418,-0.540632784007
500.0,200.0,4.9998857389,0.342480813892,20.7598617617,2.48298590072,4.96302364866,20.4926116075,0.0368620902403,0.267250154242
600.0,200.0,4.29924480359,0.342733654071,20.6878418587,3.42733654071,4.27382328205,20.4336266433,0.0254215215383,0.254215215383
250.0,200.0,9.49165141058,0.38350680386,20.4500292783,0.982736184891,9.594422176,20.7133793647,-0.102770765423,-0.263350086398
300.0,200.0,7.83291000532,0.412980277498,19.880805973,1.34218590187,8.0721720141,20.6584075015,-0.239262008781,-0.777601528538
350.0,200.0,6.60291593799,0.31731675763,19.2345841739,1.28909932787,6.9413601118,20.60951363,-0.338444173812,-1.37492945611
400.0,200.0,6.15885749532,0.342635825163,20.8811291756,1.71317912581,6.09584460455,20.5660647218,0.0630128907709,0.315064453855
100.0,200.0,17.1009494275,0.492216064549,20.7566143906,0.615270080686,17.2308154417,20.9189469084,-0.129866014244,-0.162332517805
60.0,200.0,19.279437163,0.523228933155,20.7915404459,0.570319537139,19.4557266149,20.9836959484,-0.176289451869,-0.192155502537
30.0,200.0,20.703058426,0.522341611788,21.1131157251,0.534094298053,20.6270023235,21.0353483603,0.0760561025482,0.0777673648556
-600.0,200.0,4.3491193619,0.345402548035,21.1865874418,3.45402548035,4.55486791655,23.2440729883,-0.205748554649,-2.05748554649
-500.0,200.0,5.38566257625,0.337191586206,23.5567438325,2.44463899999,5.30304717905,22.9577822028,0.0826153972036,0.598961629726
-400.0,200.0,6.44461386776,0.301059281087,22.3099110378,1.50529640543,6.48383943785,22.5060388883,-0.0392255700884,-0.196127850442
-350.0,200.0,7.36157484715,0.359754357313,22.3166359924,1.46150207658,7.3493258623,22.2668744914,0.0122489848479,0.0497615009446
-300.0,200.0,8.47965566657,0.350392703946,21.9827293721,1.13877628782,8.49637546015,22.0370687012,-0.0167197935821,-0.0543393291419
200.0,200.0,11.1155082847,0.426975536134,19.7527269942,0.853951072268,11.6266148194,20.7749400635,-0.511106534696,-1.02221306939
150.0,200.0,14.1850894803,0.527575405142,20.7701644269,0.824336570534,14.2321196494,20.843649066,-0.0470301690556,-0.0734846391494
150.0,400.0,18.356874758,0.560559987212,20.5898007993,0.639388735414,18.4816794392,20.7321561389,-0.124804681243,-0.142355339543
100.0,400.0,19.8553446403,0.506265481474,20.9414105819,0.537907074066,19.7118094562,20.7889044487,0.143535184139,0.152506133148
-1000.0,400.0,5.06310186728,0.378271024169,21.2181786925,2.74246492523,5.09951119648,21.4821463292,-0.0364093291992,-0.263967636694
-800.0,400.0,6.34021253699,0.41609152352,21.787904384,2.0804576176,6.36389151974,21.9062992977,-0.0236789827534,-0.118394913767
50.0,400.0,20.215366323,0.495040903479,20.4925081472,0.502775917596,20.5687585321,20.8514221095,-0.353392209073,-0.358913962339
-1200.0,400.0,4.5021740458,0.267376428877,22.7171342808,2.67376428877,4.33742985575,21.0696923803,0.164744190053,1.64744190053
