Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),2.800,2.800
dwB (ppm),3.13,0.03
kexAB (s^-1),3164,91
R1 (s^-1),0.88,0.20
R2 (s^-1),29.81,0.55
Red. Chi-sq,0.19
