Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.98,0.13
kexAB (s^-1),605,30
R1 (s^-1),1.37,0.10
R2 (s^-1),21.94,0.14
Red. Chi-sq,0.56
