Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.04,0.20
kexAB (s^-1),605,30
R1 (s^-1),1.57,0.14
R2 (s^-1),31.42,0.18
Red. Chi-sq,0.56
