Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.196,0.005
dwB (ppm),4.12,0.12
kexAB (s^-1),2528,137
R1 (s^-1),2.39,0.06
R2 (s^-1),13.37,0.11
Red. Chi-sq,0.16
