Date : 9/24/2019	Time : 18:14:55	
C:\UVWINLAB\DNA21U1.SP	
15.00	0.6200
15.20	0.6202
15.40	0.6201
15.60	0.6204
15.80	0.6203
16.00	0.6205
16.20	0.6205
16.40	0.6207
16.60	0.6207
16.80	0.6210
17.00	0.6212
17.20	0.6212
17.40	0.6214
17.60	0.6214
17.80	0.6216
18.00	0.6216
18.20	0.6218
18.40	0.6220
18.60	0.6221
18.80	0.6223
19.00	0.6224
19.20	0.6227
19.40	0.6227
19.60	0.6228
19.80	0.6230
20.00	0.6230
20.20	0.6231
20.40	0.6233
20.60	0.6234
20.80	0.6234
21.00	0.6237
21.20	0.6237
21.40	0.6237
21.60	0.6240
21.80	0.6239
22.00	0.6240
22.20	0.6241
22.40	0.6245
22.60	0.6243
22.80	0.6246
23.00	0.6247
23.20	0.6250
23.40	0.6250
23.60	0.6253
23.80	0.6254
24.00	0.6254
24.20	0.6257
24.40	0.6257
24.60	0.6258
24.80	0.6261
25.00	0.6261
25.20	0.6264
25.40	0.6264
25.60	0.6267
25.80	0.6268
26.00	0.6268
26.20	0.6271
26.40	0.6270
26.60	0.6273
26.80	0.6274
27.00	0.6273
27.20	0.6278
27.40	0.6279
27.60	0.6281
27.80	0.6282
28.00	0.6283
28.20	0.6286
28.40	0.6287
28.60	0.6292
28.80	0.6293
29.00	0.6296
29.20	0.6297
29.40	0.6300
29.60	0.6301
29.80	0.6306
30.00	0.6309
30.20	0.6313
30.40	0.6315
30.60	0.6317
30.80	0.6321
31.00	0.6322
31.20	0.6326
31.40	0.6328
31.60	0.6334
31.80	0.6335
32.00	0.6340
32.20	0.6343
32.50	0.6348
32.70	0.6352
33.00	0.6356
33.20	0.6361
33.50	0.6366
33.70	0.6369
34.00	0.6375
34.20	0.6380
34.50	0.6384
34.70	0.6388
35.00	0.6396
35.20	0.6400
35.50	0.6409
35.70	0.6409
36.00	0.6417
36.20	0.6423
36.50	0.6432
36.70	0.6434
37.00	0.6444
37.20	0.6448
37.50	0.6457
37.70	0.6464
38.00	0.6471
38.20	0.6478
38.50	0.6486
38.70	0.6492
39.00	0.6504
39.20	0.6510
39.50	0.6517
39.70	0.6525
40.00	0.6534
40.20	0.6541
40.50	0.6552
40.70	0.6552
41.00	0.6569
41.20	0.6578
41.50	0.6588
41.70	0.6593
42.00	0.6603
42.20	0.6611
42.50	0.6621
42.70	0.6621
43.00	0.6639
43.20	0.6648
43.50	0.6657
43.70	0.6666
44.00	0.6679
44.20	0.6683
44.50	0.6695
44.70	0.6695
45.00	0.6715
45.20	0.6719
45.50	0.6731
45.70	0.6739
46.00	0.6749
46.20	0.6756
46.50	0.6767
46.70	0.6767
47.00	0.6781
47.20	0.6789
47.50	0.6798
47.70	0.6802
48.00	0.6811
48.20	0.6821
48.50	0.6828
48.70	0.6828
49.00	0.6840
49.20	0.6847
49.50	0.6855
49.70	0.6859
50.00	0.6868
50.20	0.6872
50.50	0.6879
50.70	0.6879
51.00	0.6893
51.20	0.6899
51.50	0.6904
51.70	0.6909
52.00	0.6915
52.20	0.6919
52.50	0.6926
52.70	0.6926
53.00	0.6935
53.20	0.6939
53.50	0.6942
53.70	0.6949
54.00	0.6955
54.20	0.6957
54.50	0.6962
54.70	0.6962
55.00	0.6972
55.20	0.6973
55.50	0.6978
55.70	0.6981
56.00	0.6987
56.20	0.6990
56.50	0.6994
56.70	0.6994
57.00	0.7002
57.20	0.7005
57.50	0.7007
57.70	0.7011
58.00	0.7016
58.20	0.7019
58.50	0.7025
58.70	0.7025
59.00	0.7033
59.20	0.7035
59.50	0.7041
59.70	0.7041
60.00	0.7046
60.20	0.7050
60.50	0.7052
60.70	0.7052
61.00	0.7059
61.20	0.7060
61.50	0.7064
61.70	0.7068
62.00	0.7071
62.20	0.7076
62.50	0.7078
62.70	0.7078
63.00	0.7087
63.20	0.7089
63.50	0.7094
63.70	0.7096
64.00	0.7100
64.20	0.7099
64.40	0.7103
64.70	0.7106
64.90	0.7109
65.20	0.7114
65.40	0.7117
65.70	0.7120
65.90	0.7121
66.20	0.7125
66.40	0.7128
66.70	0.7131
66.90	0.7134
67.20	0.7142
67.40	0.7141
67.70	0.7145
67.90	0.7145
68.20	0.7152
68.40	0.7151
68.70	0.7154
68.90	0.7155
69.20	0.7159
69.40	0.7161
69.70	0.7165
69.90	0.7165
70.20	0.7170
70.40	0.7173
70.70	0.7174
70.90	0.7175
71.20	0.7181
71.40	0.7182
71.70	0.7183
71.90	0.7183
72.20	0.7188
72.40	0.7191
72.70	0.7192
72.90	0.7195
73.20	0.7197
73.40	0.7199
73.70	0.7201
73.90	0.7201
74.20	0.7206
74.40	0.7206
74.70	0.7209
74.90	0.7209
75.20	0.7211
75.40	0.7213
75.70	0.7217
75.90	0.7218
76.20	0.7218
76.40	0.7220
76.70	0.7222
76.90	0.7221
77.20	0.7227
77.40	0.7225
77.70	0.7230
77.90	0.7230
78.20	0.7231
78.40	0.7233
