Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.81,0.07
kexAB (s^-1),3598,527
R1 (s^-1),3.34,0.10
R2 (s^-1),27.83,0.56
Red. Chi-sq,1.06
