Fit #1
g10c8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.33,0.15
kexAB (s^-1),7524,852
R1 (s^-1),3.28,0.92
R2 (s^-1),16.07,3.47
Red. Chi-sq,7.46
