Date : 9/6/2019	Time : 08:32:32	
C:\UVWINLAB\DNA01U1.SP	
22.40	0.6351
22.60	0.6350
22.80	0.6349
23.00	0.6351
23.20	0.6352
23.40	0.6351
23.60	0.6352
23.80	0.6352
24.00	0.6351
24.20	0.6352
24.40	0.6352
24.60	0.6350
24.80	0.6353
25.00	0.6352
25.20	0.6352
25.40	0.6352
25.60	0.6352
25.80	0.6352
26.00	0.6354
26.20	0.6352
26.40	0.6354
26.60	0.6353
26.80	0.6355
27.00	0.6356
27.20	0.6354
27.40	0.6355
27.60	0.6356
27.80	0.6355
28.00	0.6354
28.20	0.6355
28.40	0.6356
28.60	0.6355
28.80	0.6355
29.00	0.6357
29.20	0.6356
29.40	0.6357
29.60	0.6356
29.80	0.6355
30.00	0.6356
30.20	0.6358
30.40	0.6358
30.60	0.6357
30.80	0.6358
31.00	0.6358
31.20	0.6359
31.40	0.6359
31.60	0.6358
31.80	0.6361
32.00	0.6359
32.20	0.6362
32.50	0.6362
32.70	0.6361
33.00	0.6364
33.20	0.6364
33.50	0.6365
33.70	0.6366
34.00	0.6368
34.20	0.6367
34.50	0.6369
34.70	0.6370
35.00	0.6370
35.20	0.6370
35.50	0.6371
35.70	0.6372
36.00	0.6374
36.20	0.6373
36.50	0.6375
36.70	0.6376
37.00	0.6376
37.20	0.6377
37.50	0.6378
37.70	0.6380
38.00	0.6382
38.20	0.6386
38.50	0.6387
38.70	0.6388
39.00	0.6390
39.20	0.6391
39.50	0.6394
39.70	0.6394
40.00	0.6397
40.20	0.6399
40.50	0.6402
40.70	0.6405
41.00	0.6406
41.20	0.6407
41.50	0.6410
41.70	0.6412
42.00	0.6416
42.20	0.6417
42.50	0.6422
42.70	0.6423
43.00	0.6429
43.20	0.6429
43.50	0.6434
43.70	0.6437
44.00	0.6441
44.20	0.6442
44.50	0.6445
44.70	0.6449
45.00	0.6457
45.20	0.6464
45.50	0.6470
45.70	0.6470
46.00	0.6477
46.20	0.6481
46.50	0.6493
46.70	0.6496
47.00	0.6501
47.20	0.6506
47.50	0.6515
47.70	0.6515
48.00	0.6529
48.20	0.6534
48.50	0.6546
48.70	0.6550
49.00	0.6559
49.20	0.6567
49.50	0.6578
49.70	0.6578
50.00	0.6595
50.20	0.6604
50.50	0.6617
50.70	0.6625
51.00	0.6639
51.20	0.6651
51.50	0.6662
51.70	0.6662
52.00	0.6688
52.20	0.6697
52.50	0.6716
52.70	0.6727
53.00	0.6745
53.20	0.6756
53.50	0.6773
53.70	0.6773
54.00	0.6808
54.20	0.6820
54.50	0.6841
54.70	0.6856
55.00	0.6880
55.20	0.6892
55.50	0.6916
55.70	0.6916
56.00	0.6955
56.20	0.6966
56.50	0.6990
56.70	0.7011
57.00	0.7032
57.20	0.7045
57.50	0.7067
57.70	0.7067
58.00	0.7105
58.20	0.7121
58.50	0.7144
58.70	0.7160
59.00	0.7181
59.20	0.7192
59.50	0.7212
59.70	0.7212
60.00	0.7249
60.20	0.7260
60.50	0.7281
60.70	0.7292
61.00	0.7308
61.20	0.7323
61.50	0.7333
61.70	0.7333
62.00	0.7359
62.20	0.7368
62.50	0.7382
62.70	0.7387
63.00	0.7401
63.20	0.7407
63.50	0.7419
63.70	0.7419
64.00	0.7439
64.20	0.7444
64.40	0.7448
64.70	0.7460
64.90	0.7465
65.20	0.7470
65.40	0.7475
65.70	0.7480
65.90	0.7486
66.20	0.7492
66.40	0.7496
66.70	0.7503
66.90	0.7507
67.20	0.7512
67.40	0.7513
67.70	0.7519
67.90	0.7523
68.20	0.7529
68.40	0.7530
68.70	0.7534
68.90	0.7537
69.20	0.7540
69.40	0.7543
69.70	0.7545
69.90	0.7548
70.20	0.7550
70.40	0.7554
70.70	0.7556
70.90	0.7560
71.20	0.7562
71.40	0.7564
71.70	0.7565
71.90	0.7570
72.20	0.7571
72.40	0.7574
72.70	0.7577
72.90	0.7577
73.20	0.7581
73.40	0.7582
73.70	0.7584
73.90	0.7586
74.20	0.7590
74.40	0.7592
74.70	0.7592
74.90	0.7592
75.20	0.7599
75.40	0.7599
75.70	0.7600
75.90	0.7604
76.20	0.7605
76.40	0.7607
76.70	0.7608
76.90	0.7608
77.20	0.7611
77.40	0.7613
77.70	0.7616
77.90	0.7616
78.20	0.7622
78.40	0.7621
78.70	0.7622
78.90	0.7622
79.20	0.7626
79.40	0.7625
79.70	0.7629
79.90	0.7628
80.20	0.7633
80.40	0.7637
80.70	0.7635
80.90	0.7635
81.20	0.7639
81.40	0.7642
81.70	0.7643
81.90	0.7643
82.20	0.7645
82.40	0.7647
82.70	0.7649
82.90	0.7649
83.20	0.7651
83.40	0.7652
83.70	0.7652
83.90	0.7655
84.20	0.7655
84.40	0.7657
84.70	0.7660
84.90	0.7660
85.20	0.7661
85.40	0.7662
85.70	0.7663
85.90	0.7665
86.20	0.7665
86.40	0.7668
86.70	0.7668
86.90	0.7668
87.20	0.7670
87.40	0.7671
87.70	0.7674
87.90	0.7676
88.20	0.7676
88.40	0.7676
88.70	0.7679
88.90	0.7679
89.20	0.7681
89.40	0.7684
89.70	0.7684
89.90	0.7684
90.20	0.7688
