Date : 8/6/2019	Time : 12:43:20	
C:\UVWINLAB\CG91U1.SP	
18.20	0.6034
18.40	0.6033
18.60	0.6033
18.80	0.6035
19.00	0.6034
19.20	0.6035
19.40	0.6033
19.60	0.6035
19.80	0.6035
20.00	0.6036
20.20	0.6035
20.40	0.6035
20.60	0.6038
20.80	0.6037
21.00	0.6037
21.20	0.6037
21.40	0.6036
21.60	0.6036
21.80	0.6036
22.00	0.6036
22.20	0.6037
22.40	0.6036
22.60	0.6037
22.80	0.6037
23.00	0.6038
23.20	0.6038
23.40	0.6038
23.60	0.6038
23.80	0.6038
24.00	0.6036
24.20	0.6039
24.40	0.6038
24.60	0.6040
24.80	0.6039
25.00	0.6038
25.20	0.6040
25.40	0.6040
25.60	0.6040
25.80	0.6040
26.00	0.6040
26.20	0.6041
26.40	0.6042
26.60	0.6041
26.80	0.6041
27.00	0.6042
27.20	0.6043
27.40	0.6041
27.60	0.6041
27.80	0.6042
28.00	0.6043
28.20	0.6044
28.40	0.6043
28.60	0.6043
28.80	0.6043
29.00	0.6043
29.20	0.6045
29.40	0.6046
29.60	0.6045
29.80	0.6047
30.00	0.6046
30.20	0.6046
30.40	0.6046
30.60	0.6048
30.80	0.6048
31.00	0.6049
31.20	0.6050
31.40	0.6049
31.60	0.6049
31.80	0.6049
32.00	0.6052
32.20	0.6050
32.50	0.6053
32.70	0.6053
33.00	0.6053
33.20	0.6054
33.50	0.6055
33.70	0.6054
34.00	0.6055
34.20	0.6056
34.50	0.6058
34.70	0.6058
35.00	0.6059
35.20	0.6061
35.50	0.6062
35.70	0.6061
36.00	0.6062
36.20	0.6063
36.50	0.6064
36.70	0.6066
37.00	0.6067
37.20	0.6068
37.50	0.6069
37.70	0.6069
38.00	0.6070
38.20	0.6073
38.50	0.6075
38.70	0.6075
39.00	0.6075
39.20	0.6078
39.50	0.6081
39.70	0.6082
40.00	0.6085
40.20	0.6087
40.50	0.6090
40.70	0.6090
41.00	0.6095
41.20	0.6096
41.50	0.6099
41.70	0.6102
42.00	0.6104
42.20	0.6108
42.50	0.6109
42.70	0.6110
43.00	0.6116
43.20	0.6118
43.50	0.6121
43.70	0.6126
44.00	0.6130
44.20	0.6134
44.50	0.6137
44.70	0.6137
45.00	0.6145
45.20	0.6149
45.50	0.6153
45.70	0.6156
46.00	0.6163
46.20	0.6167
46.50	0.6173
46.70	0.6173
47.00	0.6183
47.20	0.6189
47.50	0.6196
47.70	0.6200
48.00	0.6206
48.20	0.6211
48.50	0.6220
48.70	0.6220
49.00	0.6233
49.20	0.6239
49.50	0.6249
49.70	0.6258
50.00	0.6267
50.20	0.6272
50.50	0.6285
50.70	0.6285
51.00	0.6307
51.20	0.6315
51.50	0.6327
51.70	0.6334
52.00	0.6353
52.20	0.6361
52.50	0.6376
52.70	0.6376
53.00	0.6406
53.20	0.6418
53.50	0.6435
53.70	0.6448
54.00	0.6467
54.20	0.6475
54.50	0.6496
54.70	0.6496
55.00	0.6531
55.20	0.6545
55.50	0.6566
55.70	0.6577
56.00	0.6604
56.20	0.6616
56.50	0.6638
56.70	0.6638
57.00	0.6677
57.20	0.6693
57.50	0.6714
57.70	0.6732
58.00	0.6756
58.20	0.6772
58.50	0.6793
58.70	0.6793
59.00	0.6833
59.20	0.6845
59.50	0.6868
59.70	0.6882
60.00	0.6904
60.20	0.6914
60.50	0.6937
60.70	0.6937
61.00	0.6970
61.20	0.6979
61.50	0.6998
61.70	0.7012
62.00	0.7025
62.20	0.7034
62.50	0.7051
62.70	0.7051
63.00	0.7073
63.20	0.7081
63.50	0.7092
63.70	0.7100
64.00	0.7111
64.20	0.7118
64.40	0.7123
64.70	0.7135
64.90	0.7140
65.20	0.7146
65.40	0.7150
65.70	0.7159
65.90	0.7164
66.20	0.7173
66.40	0.7175
66.70	0.7181
66.90	0.7188
67.20	0.7193
67.40	0.7196
67.70	0.7201
67.90	0.7201
68.20	0.7205
68.40	0.7208
68.70	0.7214
68.90	0.7217
69.20	0.7221
69.40	0.7223
69.70	0.7229
69.90	0.7229
70.20	0.7233
70.40	0.7237
70.70	0.7239
70.90	0.7240
71.20	0.7245
71.40	0.7246
71.70	0.7250
71.90	0.7250
72.20	0.7255
72.40	0.7256
72.70	0.7261
72.90	0.7263
73.20	0.7265
73.40	0.7267
73.70	0.7268
73.90	0.7268
74.20	0.7272
74.40	0.7275
74.70	0.7276
74.90	0.7276
75.20	0.7279
75.40	0.7279
75.70	0.7283
75.90	0.7283
76.20	0.7288
76.40	0.7290
76.70	0.7292
76.90	0.7293
77.20	0.7294
77.40	0.7297
77.70	0.7298
77.90	0.7298
78.20	0.7302
78.40	0.7303
78.70	0.7306
78.90	0.7307
79.20	0.7310
79.40	0.7310
79.70	0.7314
79.90	0.7314
80.20	0.7315
80.40	0.7318
80.70	0.7320
80.90	0.7322
81.20	0.7324
81.40	0.7327
81.70	0.7329
