Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.16,0.10
kexAB (s^-1),5195,382
R1 (s^-1),3.35,0.07
R2 (s^-1),18.28,0.23
Red. Chi-sq,0.61
