Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),2.39,0.18
kexAB (s^-1),2482,339
R1 (s^-1),2.52,0.04
R2 (s^-1),20.17,0.08
Red. Chi-sq,0.25
