Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.552,0.017
dwB (ppm),2.93,0.09
kexAB (s^-1),2388,122
R1 (s^-1),1.25,0.12
R2 (s^-1),28.74,0.22
Red. Chi-sq,0.17
