Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.552,0.017
dwB (ppm),3.03,0.08
kexAB (s^-1),2388,122
R1 (s^-1),1.08,0.09
R2 (s^-1),20.62,0.19
Red. Chi-sq,0.17
