Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.40,0.08
kexAB (s^-1),1012,39
R1 (s^-1),1.13,0.15
R2 (s^-1),29.47,0.17
Red. Chi-sq,0.40
