Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.68,0.10
kexAB (s^-1),1012,39
R1 (s^-1),0.66,0.12
R2 (s^-1),19.71,0.18
Red. Chi-sq,0.40
