Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),0.73,0.08
kexAB (s^-1),3717,711
R1 (s^-1),2.27,0.04
R2 (s^-1),13.96,0.12
Red. Chi-sq,0.38
