Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),0.68,0.09
kexAB (s^-1),3717,711
R1 (s^-1),2.56,0.04
R2 (s^-1),20.18,0.13
Red. Chi-sq,0.38
