Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.030,0.030
dwB (ppm),7.03,21.32
kexAB (s^-1),4442,31627
R1 (s^-1),4.25,1.36
R2 (s^-1),37.28,3.60
Red. Chi-sq,8.97
