Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.99,0.04
kexAB (s^-1),89,2
R1 (s^-1),1.30,0.05
R2 (s^-1),27.80,0.07
Red. Chi-sq,0.13
