Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.24,0.11
kexAB (s^-1),2049,123
R1 (s^-1),2.20,0.12
R2 (s^-1),15.67,0.26
Red. Chi-sq,0.43
