Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),2.400,2.400
dwB (ppm),0.37,0.02
kexAB (s^-1),1065,248
R1 (s^-1),1.53,0.06
R2 (s^-1),7.89,0.13
Red. Chi-sq,0.89
