Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.250,1.250
dwB (ppm),4.33,0.22
kexAB (s^-1),2961,460
R1 (s^-1),2.05,0.81
R2 (s^-1),22.79,1.75
Red. Chi-sq,4.50
