Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.250,1.250
dwB (ppm),3.78,0.26
kexAB (s^-1),2961,460
R1 (s^-1),1.29,0.98
R2 (s^-1),31.22,1.90
Red. Chi-sq,4.50
