Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.33,0.05
kexAB (s^-1),4572,257
R1 (s^-1),2.48,0.10
R2 (s^-1),29.62,0.26
Red. Chi-sq,0.31
