Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.31,0.15
kexAB (s^-1),119,13
R1 (s^-1),1.52,0.12
R2 (s^-1),24.99,0.13
Red. Chi-sq,0.46
