Date : 10/17/2019	Time : 15:39:12	
C:\UVWINLAB\DNA41U1.SP	
15.00	0.6020
15.20	0.6019
15.40	0.6020
15.60	0.6021
15.80	0.6020
16.00	0.6021
16.20	0.6021
16.40	0.6022
16.60	0.6023
16.80	0.6024
17.00	0.6024
17.20	0.6025
17.40	0.6026
17.60	0.6027
17.80	0.6027
18.00	0.6026
18.20	0.6029
18.40	0.6030
18.60	0.6030
18.80	0.6030
19.00	0.6033
19.20	0.6033
19.40	0.6034
19.60	0.6035
19.80	0.6036
20.00	0.6037
20.20	0.6038
20.40	0.6041
20.60	0.6040
20.80	0.6043
21.00	0.6043
21.20	0.6047
21.40	0.6046
21.60	0.6048
21.80	0.6049
22.00	0.6051
22.20	0.6052
22.40	0.6054
22.60	0.6055
22.80	0.6059
23.00	0.6060
23.20	0.6063
23.40	0.6064
23.60	0.6066
23.80	0.6067
24.00	0.6069
24.20	0.6072
24.40	0.6074
24.60	0.6075
24.80	0.6079
25.00	0.6080
25.20	0.6082
25.40	0.6084
25.60	0.6086
25.80	0.6089
26.00	0.6092
26.20	0.6093
26.40	0.6097
26.60	0.6100
26.80	0.6102
27.00	0.6105
27.20	0.6108
27.40	0.6112
27.60	0.6115
27.80	0.6119
28.00	0.6121
28.20	0.6124
28.40	0.6128
28.60	0.6131
28.80	0.6133
29.00	0.6137
29.20	0.6141
29.40	0.6146
29.60	0.6148
29.80	0.6154
30.00	0.6156
30.20	0.6160
30.40	0.6166
30.60	0.6168
30.80	0.6175
31.00	0.6178
31.20	0.6184
31.40	0.6187
31.60	0.6193
31.80	0.6198
32.00	0.6202
32.20	0.6208
32.50	0.6219
32.70	0.6222
33.00	0.6233
33.20	0.6237
33.50	0.6244
33.70	0.6250
34.00	0.6259
34.20	0.6269
34.50	0.6278
34.70	0.6284
35.00	0.6293
35.20	0.6302
35.50	0.6311
35.70	0.6317
36.00	0.6329
36.20	0.6336
36.50	0.6345
36.70	0.6355
37.00	0.6364
37.20	0.6370
37.50	0.6381
37.70	0.6392
38.00	0.6403
38.20	0.6412
38.50	0.6428
38.70	0.6435
39.00	0.6449
39.20	0.6458
39.50	0.6469
39.70	0.6474
40.00	0.6485
40.20	0.6494
40.50	0.6508
40.70	0.6508
41.00	0.6534
41.20	0.6542
41.50	0.6557
41.70	0.6562
42.00	0.6579
42.20	0.6586
42.50	0.6599
42.70	0.6599
43.00	0.6620
43.20	0.6627
43.50	0.6637
43.70	0.6646
44.00	0.6657
44.20	0.6665
44.50	0.6674
44.70	0.6674
45.00	0.6691
45.20	0.6697
45.50	0.6707
45.70	0.6711
46.00	0.6724
46.20	0.6729
46.50	0.6734
46.70	0.6734
47.00	0.6750
47.20	0.6755
47.50	0.6763
47.70	0.6767
48.00	0.6775
48.20	0.6777
48.50	0.6784
48.70	0.6784
49.00	0.6793
49.20	0.6798
49.50	0.6802
49.70	0.6806
50.00	0.6809
50.20	0.6814
50.50	0.6821
50.70	0.6821
51.00	0.6827
51.20	0.6830
51.50	0.6834
51.70	0.6838
52.00	0.6844
52.20	0.6844
52.50	0.6848
52.70	0.6848
53.00	0.6854
53.20	0.6858
53.50	0.6859
53.70	0.6860
54.00	0.6865
54.20	0.6867
54.50	0.6869
54.70	0.6869
55.00	0.6873
55.20	0.6878
55.50	0.6881
55.70	0.6881
56.00	0.6884
56.20	0.6885
56.50	0.6889
56.70	0.6889
57.00	0.6893
57.20	0.6895
57.50	0.6898
57.70	0.6899
58.00	0.6901
58.20	0.6903
58.50	0.6902
58.70	0.6902
59.00	0.6908
59.20	0.6910
59.50	0.6911
59.70	0.6912
60.00	0.6913
60.20	0.6916
60.50	0.6917
60.70	0.6918
61.00	0.6921
61.20	0.6924
61.50	0.6925
61.70	0.6926
62.00	0.6929
62.20	0.6928
62.50	0.6929
62.70	0.6929
63.00	0.6933
63.20	0.6934
63.50	0.6934
63.70	0.6936
64.00	0.6940
64.20	0.6941
64.40	0.6942
64.70	0.6941
64.90	0.6944
65.20	0.6946
65.40	0.6947
65.70	0.6949
65.90	0.6950
66.20	0.6954
66.40	0.6955
66.70	0.6955
66.90	0.6954
67.20	0.6956
67.40	0.6956
67.70	0.6957
67.90	0.6957
68.20	0.6961
68.40	0.6961
68.70	0.6963
68.90	0.6962
69.20	0.6964
69.40	0.6967
69.70	0.6967
69.90	0.6967
70.20	0.6968
70.40	0.6970
70.70	0.6970
70.90	0.6973
71.20	0.6975
71.40	0.6976
71.70	0.6979
71.90	0.6979
72.20	0.6979
72.40	0.6983
72.70	0.6983
72.90	0.6984
73.20	0.6987
73.40	0.6988
73.70	0.6988
73.90	0.6988
74.20	0.6993
74.40	0.6994
74.70	0.6996
74.90	0.6996
75.20	0.6995
75.40	0.6998
75.70	0.6999
75.90	0.6999
