Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.82,0.08
kexAB (s^-1),4579,653
R1 (s^-1),2.17,0.08
R2 (s^-1),13.74,0.52
Red. Chi-sq,0.48
