Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.89,0.04
kexAB (s^-1),38,2
R1 (s^-1),1.70,0.07
R2 (s^-1),16.94,0.08
Red. Chi-sq,0.18
