Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.15,0.04
kexAB (s^-1),2593,119
R1 (s^-1),2.58,0.11
R2 (s^-1),19.58,0.25
Red. Chi-sq,0.67
