Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),4.12,4.12
kexAB (s^-1),1039,155
R1 (s^-1),2.26,0.05
R2 (s^-1),11.86,0.07
Red. Chi-sq,0.26
