Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),4.27,4.27
kexAB (s^-1),1039,155
R1 (s^-1),2.57,0.04
R2 (s^-1),16.67,0.07
Red. Chi-sq,0.26
